split,class_id,class_name,precision,recall,AP50,AP50_95,instances
val,0,mouse,0,0,0,0,2
val,1,keyboard,0.119045293,1,0.5616666667,0.4363958333,2
val,2,laptop,,,,,0
val,3,cup,1,0.6376639423,0.8556398349,0.5256383556,14
val,4,headphones,1,0.6123296786,0.9131428571,0.5854690696,11
test,0,mouse,0,0,0.0176315789,0.0105789474,3
test,1,keyboard,,,,,0
test,2,laptop,0.4825725739,0.8333333333,0.8668642534,0.6530762688,12
test,3,cup,0,0,0.0493402597,0.0299223377,4
test,4,headphones,0.6358499251,0.6050331835,0.5667857143,0.5388928571,3
